,sensor,path,row,date
LT51700551984158,TM,170,55,6-6-1984
LT51700551984238,TM,170,55,25-8-1984
LT51700551984254,TM,170,55,10-9-1984
LT51700551984286,TM,170,55,12-10-1984
LT51700551984318,TM,170,55,13-11-1984
LT51700551984334,TM,170,55,29-11-1984
LT51700551984366,TM,170,55,31-12-1984
LT51700551985032,TM,170,55,1-2-1985
LT51700551985048,TM,170,55,17-2-1985
LT51700551986003,TM,170,55,3-1-1986
LT51700551986019,TM,170,55,19-1-1986
LT51700551986035,TM,170,55,4-2-1986
LT51700551986051,TM,170,55,20-2-1986
LT51700551986067,TM,170,55,8-3-1986
LT51700551986083,TM,170,55,24-3-1986
LT51700551986099,TM,170,55,9-4-1986
LT51700551986227,TM,170,55,15-8-1986
LT51700551986243,TM,170,55,31-8-1986
LT51700551986275,TM,170,55,2-10-1986
LT51700551986291,TM,170,55,18-10-1986
LT51700551986355,TM,170,55,21-12-1986
LT51700551987006,TM,170,55,6-1-1987
LT51700551987022,TM,170,55,22-1-1987
LT51700551987038,TM,170,55,7-2-1987
LT51700551987086,TM,170,55,27-3-1987
LT51700551987182,TM,170,55,1-7-1987
LT51700551987262,TM,170,55,19-9-1987
LT51700551994265,TM,170,55,22-9-1994
LT51700551994281,TM,170,55,8-10-1994
LT51700551994329,TM,170,55,25-11-1994
LT51700551994345,TM,170,55,11-12-1994
LT51700551995012,TM,170,55,12-1-1995
LT51700551995028,TM,170,55,28-1-1995
LT51700551995076,TM,170,55,17-3-1995
LT51700551995092,TM,170,55,2-4-1995
LT51700551995140,TM,170,55,20-5-1995
LE71700551999255,ETM+ SLC-on,170,55,12-9-1999
LE71700551999271,ETM+ SLC-on,170,55,28-9-1999
LE71700552000114,ETM+ SLC-on,170,55,23-4-2000
LE71700552000194,ETM+ SLC-on,170,55,12-7-2000
LE71700552000258,ETM+ SLC-on,170,55,14-9-2000
LE71700552001036,ETM+ SLC-on,170,55,5-2-2001
LT51700552001060,TM,170,55,1-3-2001
LE71700552001180,ETM+ SLC-on,170,55,29-6-2001
LE71700552001228,ETM+ SLC-on,170,55,16-8-2001
LE71700552001276,ETM+ SLC-on,170,55,3-10-2001
LE71700552001292,ETM+ SLC-on,170,55,19-10-2001
LE71700552002023,ETM+ SLC-on,170,55,23-1-2002
LE71700552002039,ETM+ SLC-on,170,55,8-2-2002
LE71700552002087,ETM+ SLC-on,170,55,28-3-2002
LE71700552002151,ETM+ SLC-on,170,55,31-5-2002
LE71700552002247,ETM+ SLC-on,170,55,4-9-2002
LE71700552002263,ETM+ SLC-on,170,55,20-9-2002
LE71700552002295,ETM+ SLC-on,170,55,22-10-2002
LE71700552002311,ETM+ SLC-on,170,55,7-11-2002
LE71700552002343,ETM+ SLC-on,170,55,9-12-2002
LE71700552003010,ETM+ SLC-on,170,55,10-1-2003
LE71700552003042,ETM+ SLC-on,170,55,11-2-2003
LE71700552003074,ETM+ SLC-on,170,55,15-3-2003
LE71700552003122,ETM+ SLC-off,170,55,2-5-2003
LE71700552003138,ETM+ SLC-off,170,55,18-5-2003
LE71700552003218,ETM+ SLC-off,170,55,6-8-2003
LE71700552003266,ETM+ SLC-off,170,55,23-9-2003
LE71700552003330,ETM+ SLC-off,170,55,26-11-2003
LE71700552003346,ETM+ SLC-off,170,55,12-12-2003
LE71700552003362,ETM+ SLC-off,170,55,28-12-2003
LE71700552004045,ETM+ SLC-off,170,55,14-2-2004
LE71700552004093,ETM+ SLC-off,170,55,2-4-2004
LE71700552004141,ETM+ SLC-off,170,55,20-5-2004
LE71700552004237,ETM+ SLC-off,170,55,24-8-2004
LE71700552004253,ETM+ SLC-off,170,55,9-9-2004
LE71700552004269,ETM+ SLC-off,170,55,25-9-2004
LE71700552004317,ETM+ SLC-off,170,55,12-11-2004
LE71700552004333,ETM+ SLC-off,170,55,28-11-2004
LE71700552004365,ETM+ SLC-off,170,55,30-12-2004
LE71700552005047,ETM+ SLC-off,170,55,16-2-2005
LE71700552005063,ETM+ SLC-off,170,55,4-3-2005
LE71700552005079,ETM+ SLC-off,170,55,20-3-2005
LE71700552005095,ETM+ SLC-off,170,55,5-4-2005
LE71700552005111,ETM+ SLC-off,170,55,21-4-2005
LE71700552005287,ETM+ SLC-off,170,55,14-10-2005
LE71700552005303,ETM+ SLC-off,170,55,30-10-2005
LE71700552005319,ETM+ SLC-off,170,55,15-11-2005
LE71700552005335,ETM+ SLC-off,170,55,1-12-2005
LE71700552006002,ETM+ SLC-off,170,55,2-1-2006
LE71700552006018,ETM+ SLC-off,170,55,18-1-2006
LE71700552006098,ETM+ SLC-off,170,55,8-4-2006
LE71700552006162,ETM+ SLC-off,170,55,11-6-2006
LE71700552006242,ETM+ SLC-off,170,55,30-8-2006
LE71700552006274,ETM+ SLC-off,170,55,1-10-2006
LE71700552006290,ETM+ SLC-off,170,55,17-10-2006
LE71700552006306,ETM+ SLC-off,170,55,2-11-2006
LE71700552006322,ETM+ SLC-off,170,55,18-11-2006
LE71700552006354,ETM+ SLC-off,170,55,20-12-2006
LE71700552007005,ETM+ SLC-off,170,55,5-1-2007
LE71700552007021,ETM+ SLC-off,170,55,21-1-2007
LE71700552007053,ETM+ SLC-off,170,55,22-2-2007
